id,source,target,weight
225,4831284916,796782916491612160,1
226,1549759548,15755071,0.5
227,2749640440,805905864,1
228,1040408522,352280876,1
229,1974830538,3037298239,1
230,2955544497,3387188439,1
231,4861278086,774686030406365184,0.5
232,200925880,312217465,1
233,29049770,780252826299666432,0.5
234,185622716,754817647,1
235,155223088,2488878284,1
236,1969712454,1977910574,1
237,1535438408,3411044242,1
238,1180622503,250704226,0.5
239,1974830538,1977910574,1
240,2892368815,3254856364,1
241,1969420729,1977910574,1
242,14479164,410622988,1
243,3403356761,755817136703082500,1
244,1970627820,1977169441,1
245,2856154741,287260619,1
246,292236047,904349491,1
247,352280876,448250130,1
248,461957191,62240352,0.5
249,185622716,237994971,1
250,3404728337,384005220,0.2
251,245573252,88893451,1
252,1969368720,1970627820,1
253,1977828739,1978022473,1
254,805905864,80965639,1
255,1969712454,1975427846,1
256,1974188150,1978022473,1
257,712976695,98206010,0.5
258,207046341,618055731,0.2
259,245573252,933182024,1
260,2863716447,733803430007955456,0.5
261,2831617950,712976695,0.5
262,153283018,3377478999,0.333333
263,153283018,349632099,0.333333
264,1974981223,3037298239,1
265,365819232,75392146,1
266,1969712454,1975455086,1
267,122448174,937019478,1
268,1975455086,1977828739,1
269,3403356761,4169033472,1
270,145856687,75392146,1
271,1977828739,618839438,1
272,1969420729,1974830538,1
273,1338726187,2864142413,1
274,1900286719,1970627820,1
275,78583942,88893451,1
276,1971211453,1977140114,1
277,2955544497,742826933075877889,0.5
278,1558645760,29049770,0.333333
279,3377478999,98206010,1
280,341568813,757364653014016000,1
281,1973545422,1978022473,1
282,3037298239,4547154629,1
283,102397536,780646765829562369,0.166667
284,1040408522,904349491,1
285,265245636,28615971,1
286,2972875817,742664931217178624,1
287,2863716447,365819232,0.5
288,1389790676,3798312976,1
289,1977061699,1977169441,1
290,3104917149,779254002294878208,1
291,1180622503,291846447,0.5
292,26686224,704506110665990144,1
293,1900286719,1977169441,1
294,265245636,4562200215,1
295,3718042757,786374824948105216,1
296,16561729,34705680,1
297,3052032968,618839438,1
298,2831617950,2882182229,1
299,723261255570608128,774686030406365184,0.5
300,1974125191,1974830538,1
301,2882182229,3404728337,0.333333
302,68741628,766735508865032192,0.125
303,1974125191,1977828739,1
304,2411128484,773798108,1
305,2831617950,384005220,0.333333
306,1970627820,1973545422,1
307,1549759548,755547494369660928,1
308,1970627820,1975395252,1
309,3403356761,786374824948105216,1
310,1900286719,1977140114,1
311,1049978412,762654585660051456,1
312,2848705919,937019478,1
313,29049770,930084780,0.5
314,185622716,461803364,1
315,1969368720,1977828739,1
316,445861289,733803430007955456,1
317,247304584,766735508865032192,0.125
318,2858541770,4041329212,1
319,1974981223,1977169441,1
320,445861289,4861278086,1
321,3843064953,739907462,0.5
322,1977828739,4547154629,1
323,1104128448,2859241221,1
324,2694972208,328440716,1
325,1180622503,2848705919,0.5
326,1180622503,2853872685,0.5
327,723261255570608128,98764683,1
328,773798108,920798731,1
329,720875149,933182024,1
330,153283018,1668265830,0.333333
331,1969634864,1975427846,1
332,1973545422,3037298239,1
333,1969634864,1975455086,1
334,1977910574,3037298239,1
335,1974868602,1975427846,1
336,40227122,75392146,0.5
337,1974830538,1974868602,1
338,2883583489,772591272993361920,1
339,237977063,32682040,0.5
340,218993498,4169033472,1
341,1969769202,1975395252,1
342,242171965,87481029,1
343,1265666203,2694972208,1
344,153283018,3404728337,0.2
345,1969420729,1975395252,1
346,137165451,4865253027,1
347,1668265830,3377478999,1
348,28615971,701164616093712387,1
349,349632099,98206010,1
350,4861278086,723261255570608128,1
351,247304584,68741628,1
352,704506110665990144,805905864,1
353,134552828,762654585660051456,0.5
354,245573252,720875149,1
355,242171965,47080825,1
356,26686224,701164616093712387,1
357,1969420729,4547154629,1
358,1973545422,1974125191,1
359,1969368720,1969420729,1
360,328484372,4041329212,1
361,3411044242,738509183952113664,1
362,15502903,2853872685,1
363,40227122,755547494369660928,0.5
364,185622716,3254856364,1
365,292236047,352280876,1
366,3718042757,755817136703082500,1
367,1668265830,3404728337,0.333333
368,270921976,2902080735,1
369,1324655137,2278717689,1
370,2463270592,774686030406365184,0.5
371,237994971,4419316115,1
372,2411128484,287067120,0.333333
373,134552828,93020729,0.5
374,1549759548,774686030406365184,0.5
375,1969634864,1969712454,1
376,4562200215,80965639,1
377,2749640440,704506110665990144,1
378,1974981223,4547154629,1
